Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Amazon fees,FBA Weight Handling Fee,-$4.29,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.55,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Product charges,,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$12.27,,CHECK BOARD HALF MOON SLICE RUG - GREEN
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Amazon fees,FBA Weight Handling Fee,-$7.35,,CHECK BOARD HALF MOON SLICE RUG - GREEN
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,CHECK BOARD HALF MOON SLICE RUG - GREEN
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Product charges,,$9.99,1,CHECK BOARD HALF MOON SLICE RUG - GREEN
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Product charges,,$19.98,2,CHECK BOARD HALF MOON SLICE RUG - GREEN
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Product charges,,$19.99,1,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Promo rebates,,$0.00,1,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Promo rebates,Shipping,-$1.19,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,114-2934493-2831430,MD-86QZ-5W4G,Order Payment,Other,Shipping,$1.19,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
30-May-16,104-3157847-0770622,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
30-May-16,104-3157847-0770622,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
30-May-16,104-3157847-0770622,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
30-May-16,104-3157847-0770622,GK-51IE-0Z62,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.80,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
30-May-16,104-3157847-0770622,GK-51IE-0Z62,Order Payment,Amazon fees,Shipping Chargeback,-$3.78,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
30-May-16,104-3157847-0770622,GK-51IE-0Z62,Order Payment,Product charges,,$11.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
30-May-16,104-3157847-0770622,GK-51IE-0Z62,Order Payment,Other,Shipping,$3.78,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
