Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow
28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow
28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow
28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,Order Payment,Product charges,,$29.99,1,D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow
28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,Order Payment,Promo rebates,,$0.00,1,D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow
28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,Order Payment,Promo rebates,Shipping,-$2.53,,D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow
28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,Order Payment,Other,Shipping,$2.53,,D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow
28-Jun-16,103-2663072-9841829,L9O-HV2-209,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.25,,Home Basics Over The Counter Hairdryer Holder
28-Jun-16,103-2663072-9841829,L9O-HV2-209,Order Payment,Product charges,,$14.99,1,Home Basics Over The Counter Hairdryer Holder
28-Jun-16,106-0860492-1381845,VO6-KH8-U2Q,Order Payment,Amazon fees,Referral Fee on Item Price,-$8.25,,Oster 8-Speed Blender
28-Jun-16,106-0860492-1381845,VO6-KH8-U2Q,Order Payment,Product charges,,$54.99,1,Oster 8-Speed Blender
28-Jun-16,104-5559851-8225040,VO6-KH8-U2Q,Order Payment,Amazon fees,Referral Fee on Item Price,-$8.25,,Oster 8-Speed Blender
28-Jun-16,104-5559851-8225040,VO6-KH8-U2Q,Order Payment,Product charges,,$54.99,1,Oster 8-Speed Blender
28-Jun-16,S01-9000839-5932508,,Order Payment,Amazon fees,FBA Order Handling Fee,-$4.75,,
28-Jun-16,S01-9000839-5932508,,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$0.75,,
28-Jun-16,S01-9000839-5932508,,Order Payment,Amazon fees,FBA transportation fee,-$0.45,,
28-Jun-16,S01-9200743-1719766,,Order Payment,Amazon fees,FBA Order Handling Fee,-$4.75,,
28-Jun-16,S01-9200743-1719766,,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$0.75,,
28-Jun-16,S01-9200743-1719766,,Order Payment,Amazon fees,FBA transportation fee,-$0.45,,
28-Jun-16,113-0429716-3185049,58-PK5O-DVBE,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)"
28-Jun-16,113-0429716-3185049,58-PK5O-DVBE,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)"
28-Jun-16,113-0429716-3185049,58-PK5O-DVBE,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)"
28-Jun-16,113-0429716-3185049,58-PK5O-DVBE,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.85,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)"
28-Jun-16,113-0429716-3185049,58-PK5O-DVBE,Order Payment,Product charges,,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)"
28-Jun-16,106-9297911-3328212,67-OY4J-U1J7,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.60,,The Walking Dead Men's Lounge Pants (Large 36-38)
28-Jun-16,106-9297911-3328212,67-OY4J-U1J7,Order Payment,Product charges,,$23.98,2,The Walking Dead Men's Lounge Pants (Large 36-38)
28-Jun-16,108-9231519-1458664,8A-5HQC-9TXJ,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.60,,"Heavy Duty Window Clear Vinyl Tabel Cover (60"" x 90"" Oval)"
28-Jun-16,108-9231519-1458664,8A-5HQC-9TXJ,Order Payment,Product charges,,$23.98,2,"Heavy Duty Window Clear Vinyl Tabel Cover (60"" x 90"" Oval)"
28-Jun-16,114-0497833-9665856,HMR-UM4-V1X,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.85,,"DOUBLE SWAG SHOWER CURTAIN, LINER & RINGS , Rose Pink"
28-Jun-16,114-0497833-9665856,HMR-UM4-V1X,Order Payment,Product charges,,$18.99,1,"DOUBLE SWAG SHOWER CURTAIN, LINER & RINGS , Rose Pink"
28-Jun-16,115-0126741-4363449,F9-A7O4-Y0BX,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.00,,Anti Slip Bathtub Shower Mat - Assorted Colors (yellow)
28-Jun-16,115-0126741-4363449,F9-A7O4-Y0BX,Order Payment,Product charges,,$19.98,2,Anti Slip Bathtub Shower Mat - Assorted Colors (yellow)
28-Jun-16,105-3516426-1531438,58-DDQT-DY4N,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.88,,"Hanes Women's T-Shirt Underwire Bra, Nude,38B"
28-Jun-16,105-3516426-1531438,58-DDQT-DY4N,Order Payment,Product charges,,$12.50,1,"Hanes Women's T-Shirt Underwire Bra, Nude,38B"
28-Jun-16,106-3665085-0257806,CW-OY03-VE7M,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)
28-Jun-16,106-3665085-0257806,CW-OY03-VE7M,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)
28-Jun-16,106-3665085-0257806,CW-OY03-VE7M,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)
28-Jun-16,106-3665085-0257806,CW-OY03-VE7M,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)
28-Jun-16,106-3665085-0257806,CW-OY03-VE7M,Order Payment,Product charges,,$19.99,1,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)
28-Jun-16,102-5933738-8522661,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-Jun-16,102-5933738-8522661,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-Jun-16,102-5933738-8522661,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.75,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-Jun-16,102-5933738-8522661,22-Q94M-YDGP,Order Payment,Amazon fees,Shipping Chargeback,-$4.72,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-Jun-16,102-5933738-8522661,22-Q94M-YDGP,Order Payment,Product charges,,$24.99,1,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-Jun-16,102-5933738-8522661,22-Q94M-YDGP,Order Payment,Other,Shipping,$4.72,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-Jun-16,002-4720409-9385064,796-O5Z-5NP,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
28-Jun-16,002-4720409-9385064,796-O5Z-5NP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
28-Jun-16,002-4720409-9385064,796-O5Z-5NP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$2.73,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
28-Jun-16,002-4720409-9385064,796-O5Z-5NP,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.58,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
28-Jun-16,002-4720409-9385064,796-O5Z-5NP,Order Payment,Product charges,,$10.50,1,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-3805938-3361002,CA0-038-BBP,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
27-Jun-16,112-3805938-3361002,CA0-038-BBP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
27-Jun-16,112-3805938-3361002,CA0-038-BBP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.50,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
27-Jun-16,112-3805938-3361002,CA0-038-BBP,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.05,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
27-Jun-16,112-3805938-3361002,CA0-038-BBP,Order Payment,Product charges,,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
27-Jun-16,114-8942779-8613850,LA-WNVM-684G,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,114-8942779-8613850,LA-WNVM-684G,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,114-8942779-8613850,LA-WNVM-684G,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,114-8942779-8613850,LA-WNVM-684G,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.65,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,114-8942779-8613850,LA-WNVM-684G,Order Payment,Product charges,,$10.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,106-1107365-6235446,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
