"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
-$1.00,-$1.06,-$0.96,-$1.65,27-Jun-16,107-3356634-8789004,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$1.95,-$1.78,26-Jun-16,115-2840285-3253053,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,$0.00,,,
-$1.00,-$1.06,-$0.96,-$1.65,26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,$1.84,$0.00,-$1.84,,
-$1.00,-$1.06,-$0.96,-$3.00,26-Jun-16,110-5775952-7524232,MD-86QZ-5W4G,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,26-Jun-16,107-2101145-3470607,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,$2.44,$0.00,-$2.44,,
-$1.00,-$1.06,-$1.95,-$1.78,26-Jun-16,104-5167274-8500212,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",-$2.48,$2.48,,,,
-$1.00,-$1.06,-$0.96,-$1.65,26-Jun-16,115-7172604-7515401,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",-$3.17,$3.17,,,,
-$1.00,-$2.12,-$1.00,-$2.10,25-Jun-16,105-8673154-9561828,CA0-038-BBP,"Order Payment","Product charges",,$13.98,2,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,25-Jun-16,113-6971473-8766667,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
,-$8.18,-$4.90,-$4.50,25-Jun-16,110-8884544-4094621,A7A-6FG-MTL,"Order Payment","Product charges",,$29.98,2,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
