"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
,-$8.18,-$4.90,-$3.00,18-Jun-16,116-0388147-5993066,A7A-6FG-MTL,"Order Payment","Product charges",,$19.98,2,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,$0.00,,,
-$1.00,-$1.06,-$1.95,-$2.85,18-Jun-16,107-2891785-0939437,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,,
-$1.00,-$1.06,-$1.95,-$1.78,18-Jun-16,114-1876186-4343469,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,18-Jun-16,103-5040808-2571448,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,$0.00,,,
-$1.00,-$1.06,-$0.96,-$2.25,17-Jun-16,108-1983782-5803435,IID-VCY-8DP,"Order Payment","Product charges",,$14.99,1,"Smartekå¨ Rechargeable Fabric Defuzzer Cloth Shaver Black Cord/Cordless",,,,,,
-$1.00,-$3.18,-$2.88,-$4.95,17-Jun-16,114-3244936-7106642,GK-51IE-0Z62,"Order Payment","Product charges",,$32.97,3,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,17-Jun-16,104-3735837-9453868,CM-W5HY-8L8C,"Order Payment","Product charges",,$10.99,1,"Bioworld Adventure Time Mountain Cinch Bag 13"", Blue/White",,,,,,
-$1.00,-$1.06,-$2.34,-$2.71,17-Jun-16,113-9408179-3755445,6EH-GXK-TMB,"Order Payment","Product charges",,$18.05,1,"Double Swag Shower Curtain Liner and Rings, Beige",,$3.01,$0.00,-$3.01,,
,,,-$2.00,17-Jun-16,103-1391906-7485018,0B-682D-5E7G,"Order Payment","Product charges",,$7.98,2,"Disney Finding Nemo Friends Cupcake Rings - 24 ct",,,,,,
,-$4.09,-$8.30,-$6.74,17-Jun-16,109-7148703-5061835,Q3-3IFR-V1ZN,"Order Payment","Product charges",,$44.90,1,"Humanscale Zon Air Purifier in White",,,,,,
,,,-$1.15,16-Jun-16,107-1111308-8017833,7XN-RSK-3N9,"Order Payment","Product charges",,$7.65,1,"Boude Wipes Hanging Flushable Wipe Dispenser, 42 Count Wipes",,,,,,
,,,-$0.56,16-Jun-16,002-9925828-6885848,CF-EMV0-5CEM,"Order Payment","Product charges",,$3.70,1,"12 Cupcake Toppers Rings Dora the Explorer Boots Gemstones Party Decorations",,$4.54,,,,-$0.68
,,,-$3.45,16-Jun-16,108-4102783-3477864,7UE-5WG-0YE,"Order Payment","Product charges",,$22.99,1,"Ball Wide Mouth Half Gallon 64 Oz Jars with Lids and Bands, Set of 6",,$10.47,,,,-$1.57
,,,-$3.45,16-Jun-16,111-8802490-7513845,7UE-5WG-0YE,"Order Payment","Product charges",,$22.99,1,"Ball Wide Mouth Half Gallon 64 Oz Jars with Lids and Bands, Set of 6",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,16-Jun-16,113-4316939-0402659,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,16-Jun-16,112-3720363-7131456,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$3.51,-$1.65,15-Jun-16,114-8367011-1267447,13-PAI1-IANH,"Order Payment","Product charges",,$10.99,1,"Bioworld Regular Show Mordecai Hooded Blue Backpack",,,,,,
-$1.00,-$5.30,-$11.70,-$8.25,15-Jun-16,108-0110158-5717860,0W-I967-F2HV,"Order Payment","Product charges",,$43.96,4,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,,
,-$4.09,-$3.62,-$3.75,15-Jun-16,112-0083142-3839450,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
,-$4.09,-$2.45,-$1.50,15-Jun-16,115-6902576-4291450,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
-$1.00,-$2.12,-$1.92,-$3.30,15-Jun-16,116-0207499-1854652,Q0-OA97-BH2V,"Order Payment","Product charges",,$21.98,2,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
,-$8.18,-$7.24,-$7.50,15-Jun-16,112-6306183-0429041,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$12.97,$12.97,,,,
-$1.00,-$1.06,-$0.96,-$2.25,15-Jun-16,108-2133368-6056264,IID-VCY-8DP,"Order Payment","Product charges",,$14.99,1,"Smartekå¨ Rechargeable Fabric Defuzzer Cloth Shaver Black Cord/Cordless",,$2.19,$0.00,-$2.19,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.90,
-$1.00,-$1.06,-$0.96,-$1.65,15-Jun-16,109-3934089-4001827,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
-$1.00,-$1.06,-$0.96,-$2.85,15-Jun-16,113-3211929-1533009,58-PK5O-DVBE,"Order Payment","Product charges",,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,14-Jun-16,111-5553535-3293001,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",-$3.78,$3.78,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.90,
-$1.00,-$1.06,-$0.96,-$3.45,14-Jun-16,111-2694895-9895459,35-XQ66-Y2X5,"Order Payment","Product charges",,$22.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",,,,,,
,-$12.27,-$10.86,-$11.19,14-Jun-16,110-9893589-8897801,CSL-662-M1T,"Order Payment","Product charges",,$74.67,3,"Feel At Ease Mat 24 x 36 - Espresso",,,,,,
,-$4.09,-$3.62,-$3.75,14-Jun-16,114-8130442-4649829,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,14-Jun-16,110-0580111-9783461,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",-$6.17,$6.17,,,,
,-$4.09,-$3.62,-$3.73,14-Jun-16,107-6020497-8862649,CSL-662-M1T,"Order Payment","Product charges",,$24.89,1,"Feel At Ease Mat 24 x 36 - Espresso",,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,14-Jun-16,115-9763959-4077818,7W-PCJK-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Champagne)",,,,,,
,,,-$8.25,14-Jun-16,113-9169664-4057842,VO6-KH8-U2Q,"Order Payment","Product charges",,$54.99,1,"Oster 8-Speed Blender",,,,,,
,,,-$2.30,14-Jun-16,107-0764858-9106636,7XN-RSK-3N9,"Order Payment","Product charges",,$15.30,2,"Boude Wipes Hanging Flushable Wipe Dispenser, 42 Count Wipes",,,,,,
,,,-$1.50,14-Jun-16,115-6306399-3199458,F9-A7O4-Y0BX,"Order Payment","Product charges",,$9.99,1,"Anti Slip Bathtub Shower Mat - Assorted Colors (yellow)",,,,,,
,,,-$3.45,14-Jun-16,116-2807258-2765839,99-YUZG-PWXK,"Order Payment","Product charges",,$22.99,1,"Floral Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Navy Floral)",,,,,,
,,,-$1.00,14-Jun-16,105-1389541-8113045,7WF-F8A-YGP,"Order Payment","Product charges",,$4.59,1,"Suit Bag, Zippered, Clear Plastic, 24"" x 40""",,,,,,
,,,-$9.00,14-Jun-16,107-0741597-9865850,KHO-UI7-4YM,"Order Payment","Product charges",,$59.98,2,"Garden Well Self Watering 28 Inch Flower Pot / Planter",,,,,,
-$1.00,-$1.06,-$4.29,-$2.55,13-Jun-16,108-8993544-5162650,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,13-Jun-16,106-3258438-8329857,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,13-Jun-16,102-9108438-0238604,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,13-Jun-16,002-5520059-4310613,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,13-Jun-16,113-8861071-0103425,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,$2.68,$0.00,-$2.68,,
,-$4.09,-$3.62,-$3.73,13-Jun-16,112-2153975-8637851,CSL-662-M1T,"Order Payment","Product charges",,$24.89,1,"Feel At Ease Mat 24 x 36 - Espresso",,$2.83,$0.00,-$2.83,,
,-$4.09,-$3.62,-$3.75,13-Jun-16,106-9256439-1144232,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,13-Jun-16,104-1041628-0185039,32-P5XA-EGJY,"Order Payment","Product charges",,$19.99,1,"Mental Beats XCENTRICS Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord - Teal",-$3.99,$3.99,,,,
,-$4.09,-$3.62,-$3.75,13-Jun-16,112-2376168-0993831,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$2.12,-$1.92,-$2.00,13-Jun-16,113-1925145-4117039,OQ-AM1V-8KP3,"Order Payment","Product charges",,$17.98,2,"Xtreme Cables MFI 8 Pin 3ft Flat Tangle Free Sync & Charge Cable (Neon Green)",,,$0.00,,,
,-$4.09,-$2.45,-$1.50,13-Jun-16,112-7788806-1838637,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
,-$4.09,-$3.62,-$3.75,12-Jun-16,114-3654212-9640265,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,$0.00,,,
-$1.00,-$1.06,-$0.96,-$1.65,12-Jun-16,111-8720793-9643419,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$3.45,12-Jun-16,102-7290242-8144203,35-XQ66-Y2X5,"Order Payment","Product charges",,$22.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",-$5.44,$5.44,,,,
-$1.00,-$1.06,-$0.96,-$1.65,12-Jun-16,108-8231527-1495447,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,12-Jun-16,108-3625945-6486631,LA-WNVM-684G,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)",-$3.30,$3.30,,,,
-$1.00,-$1.06,-$0.96,-$1.65,11-Jun-16,102-1807512-2780261,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,11-Jun-16,103-3901382-5846617,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,10-Jun-16,110-0196288-5827469,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
-$1.00,-$1.06,-$0.50,-$1.05,10-Jun-16,116-9632473-2158610,CA0-038-BBP,"Order Payment","Product charges",,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,,
,-$8.18,-$7.24,-$7.50,10-Jun-16,111-8407754-1522663,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$0.50,-$1.05,10-Jun-16,106-2212406-4434638,CA0-038-BBP,"Order Payment","Product charges",,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,10-Jun-16,113-3549086-7612241,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
,-$8.18,-$4.90,-$3.00,10-Jun-16,102-1497640-4617814,A7A-6FG-MTL,"Order Payment","Product charges",,$19.98,2,"CHECK BOARD HALF MOON SLICE RUG - GREEN",-$5.64,$5.64,,,,
-$1.00,-$1.06,-$0.96,-$1.65,10-Jun-16,112-6466111-6140249,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$4.29,-$2.55,9-Jun-16,115-4478843-0452264,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,
-$1.00,-$1.06,-$0.50,-$1.05,9-Jun-16,115-2962794-2412203,CA0-038-BBP,"Order Payment","Product charges",,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,$0.00,,,
-$1.00,-$1.06,-$0.96,-$3.00,9-Jun-16,112-6082825-8919447,3G-5P9S-KWAT,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",,,,,,
,-$4.09,-$3.62,-$3.75,9-Jun-16,115-0584611-9019419,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$7.19,$7.19,,,,
,,,-$9.00,9-Jun-16,107-5248908-9921039,KHO-UI7-4YM,"Order Payment","Product charges",,$59.98,2,"Garden Well Self Watering 28 Inch Flower Pot / Planter",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,9-Jun-16,111-4232381-0133003,LA-WNVM-684G,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)",-$2.18,$2.18,,,,
-$1.00,-$1.06,-$0.96,-$1.65,9-Jun-16,112-9487289-0643402,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$4.29,-$2.55,8-Jun-16,114-6423333-5073824,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,
-$1.00,-$1.06,-$4.29,-$2.55,8-Jun-16,111-3634062-6397847,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,
,-$4.09,-$2.45,-$1.50,8-Jun-16,106-6486269-7224234,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,8-Jun-16,114-9548609-2306667,WE-YEB6-Q279,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Grey)",,,,,,
,-$8.18,-$4.90,-$3.00,8-Jun-16,116-2864756-6837044,A7A-6FG-MTL,"Order Payment","Product charges",,$19.98,2,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
,,,-$4.50,8-Jun-16,114-9091275-8315463,77-GU8X-A4MB,"Order Payment","Product charges",,$29.99,1,"Bamboo Medium Firm Hypoallergenic Memory Foam Pillow (Standard )",,,,,,
,-$8.18,-$4.90,-$3.00,8-Jun-16,109-7048587-9089819,A7A-6FG-MTL,"Order Payment","Product charges",,$19.98,2,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
,-$4.09,-$3.62,-$3.75,7-Jun-16,115-4013812-6302667,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,7-Jun-16,107-2026609-3533805,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$4.29,-$2.55,7-Jun-16,110-3466260-6971414,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,
,-$4.09,-$2.45,-$1.50,7-Jun-16,116-5948677-9578622,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
,-$4.09,-$3.62,-$3.75,7-Jun-16,105-0175441-0389039,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$2.30,$2.30,,,,
,,,-$2.25,7-Jun-16,103-0574689-5664228,I4O-1YB-0MA,"Order Payment","Product charges",,$14.99,1,"Sterlite Medium Size Sink Dish Rack Drainer (White)",,,,,,
,,,-$8.25,7-Jun-16,115-0422552-1866655,VO6-KH8-U2Q,"Order Payment","Product charges",,$54.99,1,"Oster 8-Speed Blender",,,,,,
,,,-$2.55,7-Jun-16,103-3384184-4649808,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,,
,,,-$2.36,7-Jun-16,111-7521233-6717021,ZJH-MG3-YN1,"Order Payment","Product charges",,$15.75,1,"CHECK BOARD HALF MOON SLICE RUG - LIGHT BLUE",,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,7-Jun-16,114-7840476-6961002,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",,,,,,
,-$4.09,-$4.01,-$5.25,7-Jun-16,104-7641283-5745823,3Y-2VGV-AZ21,"Order Payment","Product charges",,$34.99,1,"DS Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$2.25,7-Jun-16,103-8626104-1932222,IID-VCY-8DP,"Order Payment","Product charges",,$14.99,1,"Smartekå¨ Rechargeable Fabric Defuzzer Cloth Shaver Black Cord/Cordless",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,7-Jun-16,111-9676823-6185001,MD-86QZ-5W4G,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.35,7-Jun-16,107-4218214-9349063,AU-EZ32-FNN0,"Order Payment","Product charges",,$8.99,1,"Xtreme Cables MFI 8 Pin 3ft Flat Tangle Free Sync & Charge Cable (Pink)",,,,,,
-$1.00,-$1.06,-$1.95,-$2.85,6-Jun-16,002-0219719-0713072,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,6-Jun-16,103-1725711-3969020,6T3-1R4-UX4,"Order Payment","Product charges",,$9.99,1,"Superman Lunch Bag ( Man of Steel Movie )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,6-Jun-16,115-6324970-8158658,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,6-Jun-16,105-0774939-8581862,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,$0.00,,,
-$1.00,-$1.06,-$0.96,-$1.65,6-Jun-16,002-0397764-0826606,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
,-$8.18,-$7.24,-$7.46,6-Jun-16,113-7724442-4969025,CSL-662-M1T,"Order Payment","Product charges",,$24.89,1,"Feel At Ease Mat 24 x 36 - Espresso",,,,,,
,-$4.09,-$3.62,-$3.73,6-Jun-16,103-9624207-2824214,CSL-662-M1T,"Order Payment","Product charges",,$24.89,1,"Feel At Ease Mat 24 x 36 - Espresso",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,6-Jun-16,115-7598984-2156200,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",-$1.57,$1.57,$0.00,,,
,-$8.18,-$4.90,-$3.00,6-Jun-16,104-6638226-0838630,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,6-Jun-16,114-1668958-0024205,6T3-1R4-UX4,"Order Payment","Product charges",,$9.99,1,"Superman Lunch Bag ( Man of Steel Movie )",,,$0.00,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$1.00,-$1.06,-$0.96,-$3.45,6-Jun-16,116-8277248-2804231,35-XQ66-Y2X5,"Order Payment","Product charges",,$22.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",-$5.44,$5.44,,,,
,,,-$9.75,6-Jun-16,002-6862704-1790639,CF-TEVC-5FHU,"Order Payment","Product charges",,$64.99,1,"Mizone Glitter Reversible Printed Plush Comforter Mini Set - Black, Full / Queen",,,,,,
,,,-$2.85,6-Jun-16,109-5943531-1919414,HMR-UM4-V1X,"Order Payment","Product charges",,$18.99,1,"DOUBLE SWAG SHOWER CURTAIN, LINER & RINGS , Rose Pink",,,,,,
,,,-$1.15,6-Jun-16,108-6694475-8168208,7XN-RSK-3N9,"Order Payment","Product charges",,$7.65,1,"Boude Wipes Hanging Flushable Wipe Dispenser, 42 Count Wipes",,,,,,
,,,-$1.50,6-Jun-16,115-7738110-3919407,70-FVIS-6TNP,"Order Payment","Product charges",,$9.99,1,"Anti Slip Bathtub Shower Mat - Assorted Colors (clear)",,,,,,
,-$4.09,-$3.62,-$3.75,6-Jun-16,105-1755570-9154616,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,6-Jun-16,115-0355397-7591414,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
,-$4.09,-$4.01,-$5.25,6-Jun-16,102-1785215-6162622,3Y-2VGV-AZ21,"Order Payment","Product charges",,$34.99,1,"D&S Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$1.80,5-Jun-16,108-8335673-3665008,Q0-OA97-BH2V,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",-$3.18,$3.18,,,,
,-$4.09,-$3.62,-$3.75,5-Jun-16,109-4850862-1935403,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$1.95,-$2.85,5-Jun-16,106-2676813-8405015,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,,
