"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - FBA transportation fee","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - Shipping commission","Promo rebates - Shipping"
-$1.00,-$1.06,-$0.96,-$1.80,28-Apr-16,109-3627082-2408221,CM-O188-8KK2,"Order Payment","Product charges",,$11.99,1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Black)",,,,,,
-$1.00,-$2.12,-$1.92,-$6.00,28-Apr-16,111-7841055-7919467,3G-5P9S-KWAT,"Order Payment","Product charges",,$39.98,2,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,28-Apr-16,113-7835874-2690630,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,28-Apr-16,002-5523877-9289041,CW-OXZZ-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,28-Apr-16,111-0020711-8385018,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$2.12,-$4.29,-$3.30,28-Apr-16,106-5663081-4838623,WE-YEB6-Q279,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Grey)",,-$5.84,$5.84,,,
,-$4.09,-$3.62,-$4.50,28-Apr-16,108-0333728-9107472,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$4.75,-$1.50,,,,,,,,,,,,-$0.45,,,,,
-$1.00,-$1.06,-$1.95,-$1.65,28-Apr-16,108-3588197-5263442,WE-YEB6-Q279,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Grey)",,-$3.99,$3.99,,,
-$1.00,-$1.06,-$0.50,-$1.00,28-Apr-16,114-3243556-8508243,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,28-Apr-16,105-0418498-9593812,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,28-Apr-16,108-1719705-8349062,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,28-Apr-16,108-2538616-3985003,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$4.75,-$0.75,,,,,,,,,,,,-$0.45,,,,,
,,,-$1.80,28-Apr-16,109-5532072-7212253,IMD-7O9-F1E,"Order Payment","Product charges",,$11.99,1,"New Fabric Sink Skirt - Burgundy 56'wide 32'long",,,,,,
,,,-$2.25,28-Apr-16,109-0980253-1405848,6KL-QTZ-BIN,"Order Payment","Product charges",,$14.99,1,"Achim Home Furnishings Outdoor Rubber Mat, Welcome Palms",,,,,,
,-$4.09,-$4.01,-$6.00,28-Apr-16,107-4326165-5128260,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,
,-$4.09,-$3.62,-$4.50,28-Apr-16,002-1941849-0004220,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,
