"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","Promo rebates - Shipping","Amazon fees - Refund Administration Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee","Amazon fees - FBA Removal Order: Return Fee"
,-$4.09,-$4.01,-$2.25,25-Mar-16,111-1287328-8269022,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$8.30,-$6.75,25-Mar-16,110-4817395-5661835,Q3-3IFR-V1ZN,"Order Payment","Product charges",,"$44.99 ",1,"Humanscale Zon Air Purifier in White",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,112-4428586-6441066,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,115-6789364-8372249,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,002-1131402-0745864,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,25-Mar-16,116-8681050-8515468,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,25-Mar-16,002-7003421-0170618,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.00,-$2.12,-$4.68,-$5.10,25-Mar-16,110-3748519-1146642,2O-P69W-826P,"Order Payment","Product charges",,"$33.98 ",2,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,002-6034283-7862616,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.05,25-Mar-16,106-9285981-9005864,NC-G0TY-M0V9,"Order Payment","Product charges",,"$26.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Twin Size (39""x75""x9"")",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,109-5285948-8631464,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,25-Mar-16,112-0156673-7457828,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,25-Mar-16,104-7748505-4925856,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,110-8667563-9230669,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
-$1.00,-$2.12,-$4.68,-$8.40,25-Mar-16,115-8495156-2203443,73-SYT3-QHBY,"Order Payment","Product charges",,"$55.98 ",2,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-$10.76,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.05,25-Mar-16,114-2368161-3536261,NC-G0TY-M0V9,"Order Payment","Product charges",,"$26.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Twin Size (39""x75""x9"")",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,25-Mar-16,116-4441730-5497821,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",,,"$0.00 ",,,,,,,,,,
,,,,,,,,,,,,,,,,-$27.46,-$39.99,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,25-Mar-16,104-0342571-4333000,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,25-Mar-16,112-6581648-1485814,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,25-Mar-16,106-3307312-2473818,7W-PCJK-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Champagne)",,"$3.03 ",-$12.50,,,-$3.03,,,,,,,
,-$4.09,-$3.62,-$3.75,25-Mar-16,114-9666342-3222639,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,25-Mar-16,106-3027946-5255421,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,25-Mar-16,104-7354895-0461806,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$7.19,"$7.19 ",,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,25-Mar-16,115-9740492-3871405,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$7.19,"$7.19 ",,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,25-Mar-16,111-8480632-6151422,35-XQ66-Y2X5,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,103-2387851-0080259,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.20,25-Mar-16,112-1923586-3613002,73-SYT3-QHBY,"Order Payment","Product charges",,"$27.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")",,,,,,,,,,,,,
,-$4.09,-$4.01,-$4.50,25-Mar-16,002-5822777-4933866,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.05,25-Mar-16,108-2207327-2928253,NC-G0TY-M0V9,"Order Payment","Product charges",,"$26.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Twin Size (39""x75""x9"")",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,113-1339683-0819426,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,002-4375510-2453834,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,115-8782657-3757046,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,24-Mar-16,104-9147319-2893050,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,24-Mar-16,107-9181907-7309864,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
-$1.00,-$2.12,-$4.68,-$8.40,24-Mar-16,002-0998266-6531465,73-SYT3-QHBY,"Order Payment","Product charges",,"$27.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")",,"$5.99 ","$0.00 ",,,-$5.99,,,,,,,
-$1.00,-$1.06,-$2.73,-$5.10,24-Mar-16,115-2437567-1436232,MU-GJ1I-VZ6O,"Order Payment","Product charges",,"$33.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")",,,,,,,,,,,,,
,-$4.09,-$8.30,-$6.75,24-Mar-16,107-7394912-1453057,Q3-3IFR-V1ZN,"Order Payment","Product charges",,"$44.99 ",1,"Humanscale Zon Air Purifier in White",,,,,,,,,,,,,
,,,"$6.90 ",24-Mar-16,107-3883630-8786630,Q3-3IFR-V1ZN,Refund,"Product charges",,($45.99),1,"Humanscale Zon Air Purifier in White","$13.98 ",-$13.98,,,,,-$1.38,,,,,,
,-$4.09,-$4.01,-$2.25,24-Mar-16,109-0590208-5923457,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.20,24-Mar-16,105-6510201-1666611,73-SYT3-QHBY,"Order Payment","Product charges",,"$27.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,24-Mar-16,109-3151361-1632236,7W-PCJM-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,"$0.00 ",,,,,,,,,,
,-$8.18,-$7.24,-$7.50,24-Mar-16,112-5217718-5517041,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,,"$3.00 ",24-Mar-16,114-9346052-1361066,BQ-4FEP-C3OH,Refund,"Product charges",,($19.99),1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,-$0.60,,,,,,
-$1.00,-$1.06,-$2.34,-$4.20,24-Mar-16,111-0856021-1501018,73-SYT3-QHBY,"Order Payment","Product charges",,"$27.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")",-$4.99,"$4.99 ",,,,,,,,,,,
,,,"$3.75 ",24-Mar-16,104-5839282-6249004,22-Q94M-YDGP,Refund,"Product charges",,($24.99),1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,-$0.75,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,24-Mar-16,102-8068564-0067457,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,24-Mar-16,114-7469415-4097049,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.05,24-Mar-16,108-4128069-6029057,NC-G0TY-M0V9,"Order Payment","Product charges",,"$26.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Twin Size (39""x75""x9"")",-$4.99,"$4.99 ",,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.80,24-Mar-16,115-3207000-6604205,CM-O188-8KK2,"Order Payment","Product charges",,"$11.99 ",1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Black)",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,24-Mar-16,114-3292913-5481807,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,,,"$3.75 ",24-Mar-16,104-5558628-9799459,22-Q94M-YDGP,Refund,"Product charges",,($24.99),1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,-$0.75,,,,,,
,-$4.09,-$3.62,-$3.75,24-Mar-16,109-2712046-5497046,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$3.99,"$3.99 ",,,,,,,,,,,
,-$8.18,-$8.02,-$4.50,24-Mar-16,108-0701839-9436218,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$59.98 ",2,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$29.99,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,24-Mar-16,102-7299542-1176225,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,24-Mar-16,114-6346564-6389863,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,24-Mar-16,103-9878368-6087464,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$3.99,"$3.99 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,-$7.33,,,,,,,,,
,-$4.09,-$3.62,-$4.50,24-Mar-16,102-0278620-3129832,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,24-Mar-16,105-0627071-3764220,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,24-Mar-16,105-2207199-3261029,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,24-Mar-16,113-4841788-1528210,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,24-Mar-16,111-6865800-8340249,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.37,"$4.37 ",,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,24-Mar-16,110-2041638-8573834,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,,-$5.10,24-Mar-16,104-4814410-4601861,7L-E2XK-GJ7X,"Order Payment","Product charges",,"$33.99 ",1,"Comfort Zone CZST161BTEBK Pedestal Fan",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,24-Mar-16,002-2795588-4931444,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,"$0.00 ",,,,,,,,,,
,-$4.09,-$3.62,-$3.00,24-Mar-16,113-9178746-7949812,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$2.30,"$2.30 ",,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,24-Mar-16,113-9731737-7361857,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,"$0.00 ",,,,,,,,,,
-$1.00,-$2.12,-$4.68,-$8.10,24-Mar-16,105-4116149-7938653,NC-G0TY-M0V9,"Order Payment","Product charges",,"$53.98 ",2,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Twin Size (39""x75""x9"")",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,23-Mar-16,102-3187666-6401824,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,23-Mar-16,105-5215294-2170635,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,23-Mar-16,105-1407853-5943417,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,"$2.06 ","$0.00 ",,,-$2.06,,,,,,,
,-$4.09,-$8.69,-$7.35,23-Mar-16,108-8930245-4150622,IM-VFRS-GRIO,"Order Payment","Product charges",,"$48.99 ",1,"Humanscale Zon Air Purifier in Red",,"$9.82 ","$0.00 ",,,-$9.82,,,,,,,
,-$4.09,-$3.62,-$3.75,23-Mar-16,104-4747847-2901017,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$7.19,"$7.19 ",,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.64,23-Mar-16,108-5451754-8941056,EA-BWCC-HYPB,"Order Payment","Product charges",,"$10.95 ",1,"100% Cotton - Pillow Protector - Zippered Style - Set of 2 - 200 Thread Count - Standard Size (20x26"")",,,"$0.00 ",,,,,,,,,,
-$1.00,-$1.06,-$2.73,-$5.10,23-Mar-16,108-7757642-2341002,MU-GJ1I-VZ6O,"Order Payment","Product charges",,"$33.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")",-$5.99,"$5.99 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,-$18.56,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.64,23-Mar-16,112-1224174-1205060,EA-BWCC-HYPB,"Order Payment","Product charges",,"$10.95 ",1,"100% Cotton - Pillow Protector - Zippered Style - Set of 2 - 200 Thread Count - Standard Size (20x26"")",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,23-Mar-16,114-0804722-8001848,7W-PCJM-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,23-Mar-16,116-8709548-1834637,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,23-Mar-16,104-5817030-9769022,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$7.30,"$7.30 ",,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.20,23-Mar-16,108-1018473-3494661,73-SYT3-QHBY,"Order Payment","Product charges",,"$27.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$4.20,23-Mar-16,110-5561290-8250642,73-SYT3-QHBY,"Order Payment","Product charges",,"$27.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.73,-$5.10,23-Mar-16,112-7730371-3409064,MU-GJ1I-VZ6O,"Order Payment","Product charges",,"$33.99 ",1,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,23-Mar-16,113-8031987-7272218,35-XQ66-Y2X5,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",-$5.44,"$5.44 ",-$12.50,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,23-Mar-16,103-4009557-1705849,3G-5P9S-KWAT,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",,,,,,,,,,,,,
,-$4.09,-$8.30,-$6.90,22-Mar-16,115-3413915-0243465,Q3-3IFR-V1ZN,"Order Payment","Product charges",,"$45.99 ",1,"Humanscale Zon Air Purifier in White",,"$8.87 ","$0.00 ",,,-$8.87,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.35,22-Mar-16,115-0532382-8349020,FV-XXFT-7P69,"Order Payment","Product charges",,"$8.99 ",1,"My Little Pony Soft Tote Lunch Box",,,,,,,,,,,,,
,-$12.27,-$10.86,-$11.25,22-Mar-16,110-3652060-8357835,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$74.97 ",3,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$8.69,-$7.50,22-Mar-16,115-0530111-9723417,AQ-1M7T-VZVT,"Order Payment","Product charges",,"$49.99 ",1,"Humanscale Zon Air Purifier in Black",,,,,,,,,,,,,
,-$12.27,-$10.86,-$11.25,22-Mar-16,102-6488333-8174616,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,22-Mar-16,115-8725820-3815438,35-XQ66-Y2X5,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",,"$2.94 ","$0.00 ",,,-$2.94,,,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,22-Mar-16,114-3405578-9938639,86-XBMI-Q597,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,22-Mar-16,114-9099227-4078627,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,22-Mar-16,106-7046553-3804263,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,,"$3.00 ",22-Mar-16,002-3349759-4059469,BQ-4FEP-C3OH,Refund,"Product charges",,($19.99),1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,-$0.60,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,22-Mar-16,116-9641072-9529848,7W-PCJM-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,"$0.00 ",,,,,,,,,,
,-$4.09,-$3.62,-$3.75,22-Mar-16,104-5839282-6249004,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,22-Mar-16,106-2405555-8636213,35-XQ66-Y2X5,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",,,-$12.50,,,,,,,,,,
-$1.00,-$2.12,-$1.92,-$3.00,22-Mar-16,109-6992771-0430637,CW-OXZZ-VE7M,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)",,,-$9.99,,,,,,,,,,
