"Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Promo rebates - ","Promo rebates - Shipping","Other - Shipping","Amazon fees - Refund Administration Fee","Amazon fees - FBA Order Handling Fee","Amazon fees - Shipping Chargeback","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee"
-$4.09,-$3.62,-$4.50,31-Mar-16,112-8980751-5513827,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,$3.99,,,-$3.99,,,,,,,
-$1.06,-$0.96,-$2.55,31-Mar-16,113-2870874-6881012,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,-$1.00,,,,,,,,
-$1.06,-$0.96,-$3.75,31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",,,$11.73,,-$1.00,-$11.73,,,,,,,
-$1.06,-$0.96,-$1.80,31-Mar-16,108-2623617-8785816,HC-FNLT-DTIH,"Order Payment","Product charges",,$11.99,1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Blue,)",,,,,-$1.00,,,,,,,,
-$4.09,-$3.62,-$4.50,31-Mar-16,107-3408687-8731410,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.75,31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,"Order Payment","Product charges",,$24.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",$0.00,-$1.57,$1.57,,,,,,,,,,
-$8.18,-$7.24,-$9.00,31-Mar-16,110-1337457-3512231,22-Q94M-YDGP,"Order Payment","Product charges",,$59.98,2,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,$8.10,,,-$8.10,,,,,,,
-$4.09,-$4.01,-$2.25,31-Mar-16,103-7423178-5734609,3Y-2VGV-AZ21,"Order Payment","Product charges",,$29.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$15.00,,,,,,,,,,,,
-$4.09,-$4.01,-$2.62,31-Mar-16,116-5922746-3453023,3Y-2VGV-AZ21,"Order Payment","Product charges",,$34.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$17.50,,,,,,,,,,,,
-$4.09,-$3.62,-$4.50,30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",$0.00,-$3.36,$3.36,,,,,,,,,,
-$4.09,-$3.62,-$4.50,30-Mar-16,103-6853221-8743423,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$4.01,-$2.62,30-Mar-16,113-7070784-8835453,3Y-2VGV-AZ21,"Order Payment","Product charges",,$34.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$17.50,,,,,,,,,,,,
-$1.06,-$0.96,-$3.75,30-Mar-16,002-2552908-3081013,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",,,,,-$1.00,,,,,,,,
-$4.09,-$8.69,-$7.05,30-Mar-16,103-9484612-0397039,IM-VFRS-GRIO,"Order Payment","Product charges",,$46.99,1,"Humanscale Zon Air Purifier in Red",,,,,,,,,,,,,
-$4.09,-$3.62,-$4.50,30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",$0.00,-$2.18,$2.18,,,,,,,,,,
-$1.06,-$0.96,-$3.00,30-Mar-16,002-7396637-9529834,CW-OXZZ-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)",,,,,-$1.00,,,,,,,,
-$4.09,-$3.62,-$4.50,30-Mar-16,108-8522371-3704265,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,$3.75,30-Mar-16,105-1962183-5321866,BQ-4FEP-C3OH,Refund,"Product charges",,-$24.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,-$0.75,,,,,,,,,
-$1.06,-$2.34,-$2.55,30-Mar-16,110-4393545-5899466,2O-P69W-826P,"Order Payment","Product charges",,$16.99,1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!",,,,,-$1.00,,,,,,,,
