Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
31-Mar-16,105-3932702-6507457,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,105-3932702-6507457,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,105-3932702-6507457,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-2401440-6788221,BQ-4FEP-C3OH,Refund,Amazon fees,Referral Fee on Item Price,$3.00,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,112-2401440-6788221,BQ-4FEP-C3OH,Refund,Amazon fees,Refund Administration Fee,-$0.60,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,112-2401440-6788221,BQ-4FEP-C3OH,Refund,Product charges,,-$19.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,112-3114133-9378663,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-3114133-9378663,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-3114133-9378663,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-3114133-9378663,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,115-4228492-1778603,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,115-4228492-1778603,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,115-4228492-1778603,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,115-4228492-1778603,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-8980751-5513827,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-8980751-5513827,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-8980751-5513827,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-8980751-5513827,22-Q94M-YDGP,Order Payment,Amazon fees,Shipping Chargeback,-$3.99,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-8980751-5513827,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,112-8980751-5513827,22-Q94M-YDGP,Order Payment,Other,Shipping,$3.99,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,113-2870874-6881012,BX-YPD9-FBE5,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
31-Mar-16,113-2870874-6881012,BX-YPD9-FBE5,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
31-Mar-16,113-2870874-6881012,BX-YPD9-FBE5,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
31-Mar-16,113-2870874-6881012,BX-YPD9-FBE5,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.55,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
31-Mar-16,113-2870874-6881012,BX-YPD9-FBE5,Order Payment,Product charges,,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.75,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,Order Payment,Amazon fees,Shipping Chargeback,-$11.73,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,Order Payment,Product charges,,$24.99,1,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
31-Mar-16,115-4404730-8016254,7W-PCJO-3BVK,Order Payment,Other,Shipping,$11.73,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
31-Mar-16,108-2623617-8785816,HC-FNLT-DTIH,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Blue,)"
