"Date","Order ID","SKU","Transaction type","Payment Type","Payment Detail","Amount",,"Quantity","Product Title"
"27-Mar-16","105-9451771-3080248","2O-P69W-826P","Order Payment","Product charges",,"$16.99 ","10.04","1","Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4718747-5161000","H1-IGX2-R0XD","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4718747-5161000","H1-IGX2-R0XD","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4718747-5161000","H1-IGX2-R0XD","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.34)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4718747-5161000","H1-IGX2-R0XD","Order Payment","Amazon fees","Referral Fee on Item Price","($2.85)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4718747-5161000","H1-IGX2-R0XD","Order Payment","Amazon fees","Shipping Chargeback","($7.68)","return",,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4718747-5161000","H1-IGX2-R0XD","Order Payment","Product charges",,"$18.99 ","5.06","1","Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4718747-5161000","H1-IGX2-R0XD","Order Payment","Other","Shipping","$7.68 ",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","106-1794776-5473054","2O-P69W-826P","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","106-1794776-5473054","2O-P69W-826P","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
