"Date","Order ID","SKU","Transaction type","Payment Type","Payment Detail","Amount",,"Quantity","Product Title"
"23-Mar-16","104-5817030-9769022","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"23-Mar-16","104-5817030-9769022","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"23-Mar-16","104-5817030-9769022","22-Q94M-YDGP","Order Payment","Amazon fees","Shipping Chargeback","($7.30)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"23-Mar-16","104-5817030-9769022","22-Q94M-YDGP","Order Payment","Product charges",,"$24.99 ",,"1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"23-Mar-16","104-5817030-9769022","22-Q94M-YDGP","Order Payment","Other","Shipping","$7.30 ",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"23-Mar-16","108-1018473-3494661","73-SYT3-QHBY","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","108-1018473-3494661","73-SYT3-QHBY","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","108-1018473-3494661","73-SYT3-QHBY","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.34)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","108-1018473-3494661","73-SYT3-QHBY","Order Payment","Amazon fees","Referral Fee on Item Price","($4.20)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","108-1018473-3494661","73-SYT3-QHBY","Order Payment","Product charges",,"$27.99 ",,"1","Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","110-5561290-8250642","73-SYT3-QHBY","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","110-5561290-8250642","73-SYT3-QHBY","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","110-5561290-8250642","73-SYT3-QHBY","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.34)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","110-5561290-8250642","73-SYT3-QHBY","Order Payment","Amazon fees","Referral Fee on Item Price","($4.20)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","110-5561290-8250642","73-SYT3-QHBY","Order Payment","Product charges",,"$27.99 ",,"1","Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - Full Size (54""x75""x11"")"
"23-Mar-16","112-7730371-3409064","MU-GJ1I-VZ6O","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")"
"23-Mar-16","112-7730371-3409064","MU-GJ1I-VZ6O","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")"
"23-Mar-16","112-7730371-3409064","MU-GJ1I-VZ6O","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.73)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")"
"23-Mar-16","112-7730371-3409064","MU-GJ1I-VZ6O","Order Payment","Amazon fees","Referral Fee on Item Price","($5.10)",,,"Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")"
"23-Mar-16","112-7730371-3409064","MU-GJ1I-VZ6O","Order Payment","Product charges",,"$33.99 ",,"1","Guardmax - Bedbug Proof/Waterproof Mattress Protector Cover - Zippered Style - Quiet! - King Size (78""x80""x11"")"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Amazon fees","Referral Fee on Item Price","($1.87)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Amazon fees","Shipping Chargeback","($5.44)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Product charges",,"$24.99 ",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Promo rebates",,"($12.50)",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","113-8031987-7272218","35-XQ66-Y2X5","Order Payment","Other","Shipping","$5.44 ",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"23-Mar-16","103-4009557-1705849","3G-5P9S-KWAT","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)"
"23-Mar-16","103-4009557-1705849","3G-5P9S-KWAT","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)"
"23-Mar-16","103-4009557-1705849","3G-5P9S-KWAT","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)"
"23-Mar-16","103-4009557-1705849","3G-5P9S-KWAT","Order Payment","Amazon fees","Referral Fee on Item Price","($3.00)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)"
"23-Mar-16","103-4009557-1705849","3G-5P9S-KWAT","Order Payment","Product charges",,"$19.99 ",,"1","Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Humanscale Zon Air Purifier in White"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Amazon fees","FBA Weight Handling Fee","($8.30)",,,"Humanscale Zon Air Purifier in White"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Amazon fees","Referral Fee on Item Price","($6.90)",,,"Humanscale Zon Air Purifier in White"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Product charges",,"$45.99 ",,"1","Humanscale Zon Air Purifier in White"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Promo rebates",,"$0.00 ",,"1","Humanscale Zon Air Purifier in White"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Promo rebates",,"$0.00 ",,"1","Humanscale Zon Air Purifier in White"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Promo rebates","Shipping","($8.87)",,,"Humanscale Zon Air Purifier in White"
"22-Mar-16","115-3413915-0243465","Q3-3IFR-V1ZN","Order Payment","Other","Shipping","$8.87 ",,,"Humanscale Zon Air Purifier in White"
"22-Mar-16","115-0532382-8349020","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"My Little Pony Soft Tote Lunch Box"
"22-Mar-16","115-0532382-8349020","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"My Little Pony Soft Tote Lunch Box"
"22-Mar-16","115-0532382-8349020","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"My Little Pony Soft Tote Lunch Box"
"22-Mar-16","115-0532382-8349020","FV-XXFT-7P69","Order Payment","Amazon fees","Referral Fee on Item Price","($1.35)",,,"My Little Pony Soft Tote Lunch Box"
"22-Mar-16","115-0532382-8349020","FV-XXFT-7P69","Order Payment","Product charges",,"$8.99 ",,"1","My Little Pony Soft Tote Lunch Box"
"22-Mar-16","110-3652060-8357835","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($12.27)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","110-3652060-8357835","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($10.86)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","110-3652060-8357835","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($11.25)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","110-3652060-8357835","BQ-4FEP-C3OH","Order Payment","Product charges",,"$74.97 ",,"3","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","115-0530111-9723417","AQ-1M7T-VZVT","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Humanscale Zon Air Purifier in Black"
"22-Mar-16","115-0530111-9723417","AQ-1M7T-VZVT","Order Payment","Amazon fees","FBA Weight Handling Fee","($8.69)",,,"Humanscale Zon Air Purifier in Black"
"22-Mar-16","115-0530111-9723417","AQ-1M7T-VZVT","Order Payment","Amazon fees","Referral Fee on Item Price","($7.50)",,,"Humanscale Zon Air Purifier in Black"
"22-Mar-16","115-0530111-9723417","AQ-1M7T-VZVT","Order Payment","Product charges",,"$49.99 ",,"1","Humanscale Zon Air Purifier in Black"
"22-Mar-16","102-6488333-8174616","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($12.27)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","102-6488333-8174616","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($10.86)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","102-6488333-8174616","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($11.25)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","102-6488333-8174616","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","102-6488333-8174616","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","102-6488333-8174616","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Product charges",,"$24.99 ",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Promo rebates",,"$0.00 ",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Promo rebates","Shipping","($2.94)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","115-8725820-3815438","35-XQ66-Y2X5","Order Payment","Other","Shipping","$2.94 ",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","114-3405578-9938639","86-XBMI-Q597","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )"
"22-Mar-16","114-3405578-9938639","86-XBMI-Q597","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )"
"22-Mar-16","114-3405578-9938639","86-XBMI-Q597","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )"
"22-Mar-16","114-3405578-9938639","86-XBMI-Q597","Order Payment","Amazon fees","Referral Fee on Item Price","($3.00)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )"
"22-Mar-16","114-3405578-9938639","86-XBMI-Q597","Order Payment","Product charges",,"$19.99 ",,"1","Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )"
"22-Mar-16","114-9099227-4078627","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","114-9099227-4078627","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","114-9099227-4078627","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","114-9099227-4078627","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","106-7046553-3804263","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","106-7046553-3804263","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","106-7046553-3804263","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.00)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","106-7046553-3804263","BQ-4FEP-C3OH","Order Payment","Product charges",,"$19.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","002-3349759-4059469","BQ-4FEP-C3OH","Refund","Amazon fees","Referral Fee on Item Price","$3.00 ",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","002-3349759-4059469","BQ-4FEP-C3OH","Refund","Amazon fees","Refund Administration Fee","($0.60)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","002-3349759-4059469","BQ-4FEP-C3OH","Refund","Product charges",,"($19.99)",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"22-Mar-16","116-9641072-9529848","7W-PCJM-3BVK","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)"
"22-Mar-16","116-9641072-9529848","7W-PCJM-3BVK","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)"
"22-Mar-16","116-9641072-9529848","7W-PCJM-3BVK","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)"
"22-Mar-16","116-9641072-9529848","7W-PCJM-3BVK","Order Payment","Amazon fees","Referral Fee on Item Price","($1.87)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)"
"22-Mar-16","116-9641072-9529848","7W-PCJM-3BVK","Order Payment","Product charges",,"$24.99 ",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)"
"22-Mar-16","116-9641072-9529848","7W-PCJM-3BVK","Order Payment","Promo rebates",,"($12.50)",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)"
"22-Mar-16","116-9641072-9529848","7W-PCJM-3BVK","Order Payment","Promo rebates",,"$0.00 ",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)"
"22-Mar-16","104-5839282-6249004","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"22-Mar-16","104-5839282-6249004","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"22-Mar-16","104-5839282-6249004","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"22-Mar-16","104-5839282-6249004","22-Q94M-YDGP","Order Payment","Product charges",,"$24.99 ",,"1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"22-Mar-16","106-2405555-8636213","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","106-2405555-8636213","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","106-2405555-8636213","35-XQ66-Y2X5","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","106-2405555-8636213","35-XQ66-Y2X5","Order Payment","Amazon fees","Referral Fee on Item Price","($1.87)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","106-2405555-8636213","35-XQ66-Y2X5","Order Payment","Product charges",,"$24.99 ",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","106-2405555-8636213","35-XQ66-Y2X5","Order Payment","Promo rebates",,"($12.50)",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)"
"22-Mar-16","109-6992771-0430637","MD-86QZ-5W4G","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)"
"22-Mar-16","109-6992771-0430637","MD-86QZ-5W4G","Order Payment","Amazon fees","FBA Pick & Pack Fee","($2.12)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)"
"22-Mar-16","109-6992771-0430637","MD-86QZ-5W4G","Order Payment","Amazon fees","FBA Weight Handling Fee","($1.92)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)"
"22-Mar-16","109-6992771-0430637","MD-86QZ-5W4G","Order Payment","Amazon fees","Referral Fee on Item Price","($3.00)",,,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)"
"22-Mar-16","109-6992771-0430637","MD-86QZ-5W4G","Order Payment","Product charges",,"$19.99 ",,"1","Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)"
"22-Mar-16","109-6992771-0430637","CW-OXZZ-VE7M","Order Payment","Product charges",,"$19.99 ",,"1","Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)"
"22-Mar-16","109-6992771-0430637","MD-86QZ-5W4G","Order Payment","Promo rebates",,"($10.00)",,"1","Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)"
"22-Mar-16","109-6992771-0430637","CW-OXZZ-VE7M","Order Payment","Promo rebates",,"($9.99)",,"1","Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)"
"21-Mar-16","107-5667101-9650632","BQ-4FEP-C3OH","Refund","Amazon fees","Referral Fee on Item Price","$3.00 ",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"21-Mar-16","107-5667101-9650632","BQ-4FEP-C3OH","Refund","Amazon fees","Refund Administration Fee","($0.60)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"21-Mar-16","107-5667101-9650632","BQ-4FEP-C3OH","Refund","Product charges",,"($19.99)",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"21-Mar-16","105-0091310-3449041","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"21-Mar-16","105-0091310-3449041","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"21-Mar-16","105-0091310-3449041","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.00)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"21-Mar-16","105-0091310-3449041","BQ-4FEP-C3OH","Order Payment","Product charges",,"$19.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"21-Mar-16","110-5224784-4244207","RO-6RXH-KT8V","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Ivory)"
"21-Mar-16","110-5224784-4244207","RO-6RXH-KT8V","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Ivory)"
"21-Mar-16","110-5224784-4244207","RO-6RXH-KT8V","Order Payment","Amazon fees","FBA Weight Handling Fee","($4.29)",,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Ivory)"
"21-Mar-16","110-5224784-4244207","RO-6RXH-KT8V","Order Payment","Amazon fees","Referral Fee on Item Price","($2.55)",,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Ivory)"
"21-Mar-16","110-5224784-4244207","RO-6RXH-KT8V","Order Payment","Product charges",,"$16.99 ",,"1","Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Ivory)"
"21-Mar-16","106-9070378-5344240","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"21-Mar-16","106-9070378-5344240","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"21-Mar-16","106-9070378-5344240","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"21-Mar-16","106-9070378-5344240","22-Q94M-YDGP","Order Payment","Product charges",,"$24.99 ",,"1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"21-Mar-16","109-3655560-1385008","22-Q94M-YDGP","Refund","Amazon fees","Referral Fee on Item Price","$3.00 ",,,"Hypoallergenic Infused Cool Gel Ventilated Core Memory Foam Standard 18.5""x11.5""x3.5""in Pillow"
"21-Mar-16","109-3655560-1385008","22-Q94M-YDGP","Refund","Amazon fees","Refund Administration Fee","($0.60)",,,"Hypoallergenic Infused Cool Gel Ventilated Core Memory Foam Standard 18.5""x11.5""x3.5""in Pillow"
"21-Mar-16","109-3655560-1385008","22-Q94M-YDGP","Refund","Product charges",,"($19.99)",,"1","Hypoallergenic Infused Cool Gel Ventilated Core Memory Foam Standard 18.5""x11.5""x3.5""in Pillow"
